Country,With NMSC : Both Sexes : Population,With NMSC : Both Sexes : ASR,With NMSC : Both Sexes : Mortality,With NMSC : Men : Population,With NMSC : Men : Mortality,With NMSC : Women : Population,With NMSC : Women : Mortality,Without NMSC : Both Sexes : Population,Without NMSC : Both Sexes : ASR,Without NMSC : Both Sexes : Mortality,Without NMSC : Men : Population,Without NMSC : Men : Mortality,Without NMSC : Women : Population,Without NMSC : Women : Mortality
Mongolia,6699,235.8,4929,3499,2719,3200,2210,6651,234.0,4923,3479,2717,3172,2206
Montenegro,2739,238.0,1535,1415,847,1324,688,2510,221.1,1521,1282,840,1228,681
Morocco,63609,149.8,36947,30737,21155,32872,15792,63110,148.7,36754,30478,21056,32632,15698
Mozambique,26578,128.8,19020,10219,7391,16359,11629,25741,125.0,18723,9879,7244,15862,11479
Myanmar,77603,135.5,54841,35822,27518,41781,27323,76043,132.7,54218,35019,27200,41024,27018
Namibia,3453,193.5,1940,1540,897,1913,1043,3222,179.1,1873,1404,856,1818,1017
Nepal,22008,81.6,14704,9792,6936,12216,7768,21766,80.7,14600,9684,6881,12082,7719
Netherlands,132319,341.4,49790,69570,27172,62749,22618,116224,312.4,49653,60845,27087,55379,22566
New Caledonia,1149,287.6,467,631,273,518,194,1123,281.5,466,616,272,507,194
New Zealand,38157,427.3,11301,20562,6065,17595,5236,27551,299.9,11111,14766,5939,12785,5172
Nicaragua,8409,133.5,4822,3763,2306,4646,2516,8242,130.8,4782,3646,2278,4596,2504
Niger,11593,83.7,8806,4910,4048,6683,4758,11263,81.3,8628,4745,3958,6518,4670
Nigeria,127763,113.6,79542,48096,32905,79667,46637,124735,111.1,78311,46686,32271,78049,46040
North Korea,61533,166.1,42789,29398,22385,32135,20404,61212,165.2,42644,29255,22321,31957,20323
North Macedonia,7563,206.9,4364,4259,2607,3304,1757,7235,199.7,4312,4011,2571,3224,1741
Norway,40305,357.9,13393,21733,6855,18572,6538,37449,340.3,13323,20189,6826,17260,6497
Oman,4045,105.3,2261,2473,1510,1572,751,3991,103.7,2249,2436,1501,1555,748
Pakistan,185748,105.6,118631,87568,58934,98180,59697,180938,102.7,116294,84755,57456,96183,58838
Panama,8353,154.9,3770,4156,1963,4197,1807,8110,151.1,3740,4029,1947,4081,1793
Papua New Guinea,12190,188.7,7200,5389,3274,6801,3926,11491,175.1,6933,5021,3127,6470,3806
Paraguay,13783,192.2,6581,6966,3532,6817,3049,13380,186.7,6497,6710,3487,6670,3010
Peru,72827,173.8,35934,33724,16790,39103,19144,69765,167.7,35550,32090,16590,37675,18960
Philippines,188976,185.4,113369,83064,56863,105912,56506,187806,184.2,112831,82394,56557,105412,56274
Poland,208900,262.8,119992,109365,65742,99535,54250,202037,256.8,118982,106060,65245,95977,53737
Portugal,69567,294.6,33762,37865,19510,31702,14252,66600,286.3,33503,36152,19382,30448,14121
Puerto Rico,13778,226.6,5796,7486,3212,6292,2584,13173,215.7,5746,7170,3179,6003,2567
Qatar,1733,82.4,782,1093,527,640,255,1719,81.7,781,1085,526,634,255
Romania,104661,276.5,56216,57311,32830,47350,23386,100471,267.8,55627,54859,32475,45612,23152
Russia,635560,248.1,311729,301496,164172,334064,147557,614275,240.9,310160,292425,163399,321850,146761
Rwanda,7122,83.2,4887,3287,2324,3835,2563,6966,81.4,4833,3231,2304,3735,2529
Saint Lucia,448,166.8,223,265,132,183,91,448,166.8,223,265,132,183,91
Samoa,400,240.0,208,191,111,209,97,400,240.0,208,191,111,209,97
Sao Tome and Principe,144,104.9,90,77,48,67,42,143,104.2,90,76,48,67,42
Saudi Arabia,28113,87.1,13399,14745,8050,13368,5349,27768,85.8,13312,14535,7992,13233,5320
Senegal,11841,113.9,8134,4270,3111,7571,5023,11561,111.2,8025,4140,3063,7421,4962
Serbia,42039,250.4,23881,22910,13570,19129,10311,40596,244.3,23646,22062,13436,18534,10210
Sierra Leone,1918,35.9,1334,874,633,1044,701,1915,35.9,1334,873,633,1042,701
Singapore,25250,231.1,13277,13342,7659,11908,5618,24801,227.3,13248,13070,7643,11731,5605
Slovakia,30913,283.3,15166,16698,8393,14215,6773,29273,271.8,15043,15956,8339,13317,6704
Slovenia,14402,305.1,6898,7838,3876,6564,3022,13719,296.0,6836,7463,3844,6256,2992
